B0:, R18, R87, R81, R2, R98, R23, R99, R13, R61, R17, R41, R64, R51, R3, R79, R47, R95, R6, R83, R88, R46, R82, R20, R19, R11, R89, R80, R77, R28, R84, R96, R93, R78, R76, R48, R24, R12, R65, R40, R27, R52, R42, R43, R4, R60, R38, R94, R68, R35, R85, R15, R7, R74, R67, R1, R86, R66, R14, R25, R33, R73, R92, R49, R56, R44, R0, R31, R90, R57, R36, R75, R45, R54, R70, R26, R10, R91, R30, R97, R32, R9, R39, R71, R50, R21, R63, R69, R55, R72, R8, R59, R62, R37, R34, R58, R5, R16, R29, R22, R53, 
B44:, R97, R89, R61, R32, R8, R47, R36, R38, R57, R4, R30, R44, R93, R2, R60, R23, R81, R9, R80, R25, R55, R71, R10, R84, R27, R90, R1, R24, R43, R54, R73, R37, R87, R68, R31, R40, R91, R6, R35, R85, R20, R69, R65, R42, R92, R5, R49, R41, R45, R77, R50, R56, R21, R64, R51, R13, R18, R74, R52, R98, R83, R46, R66, R58, R3, R72, R59, R19, R33, R0, R99, R86, R17, R11, R16, R63, R15, R70, R75, R7, R14, R82, R76, R48, R12, R79, R34, R53, R62, R22, R67, R88, R94, R29, R26, R95, R96, R39, R78, R28, 
B45:, R80, R10, R5, R85, R76, R72, R64, R35, R1, R77, R21, R82, R67, R88, R69, R51, R13, R4, R3, R78, R40, R70, R7, R81, R2, R89, R12, R52, R55, R33, R87, R34, R30, R73, R6, R68, R46, R23, R38, R60, R59, R63, R74, R27, R20, R84, R17, R91, R97, R71, R90, R45, R94, R42, R66, R79, R93, R15, R11, R0, R19, R65, R53, R14, R43, R24, R39, R47, R41, R83, R25, R96, R29, R75, R62, R99, R28, R31, R32, R56, R26, R36, R57, R9, R48, R37, R18, R49, R95, R58, R86, R50, R61, R92, R98, R16, R22, R54, R44, R8, 
B46:, R27, R61, R42, R65, R71, R88, R81, R92, R20, R60, R26, R62, R1, R35, R91, R37, R94, R9, R19, R11, R67, R45, R29, R36, R13, R31, R24, R80, R5, R34, R57, R30, R93, R44, R28, R16, R95, R48, R73, R2, R7, R74, R6, R47, R12, R33, R83, R46, R82, R96, R59, R64, R77, R0, R3, R32, R53, R99, R86, R52, R15, R22, R54, R39, R49, R43, R21, R40, R18, R23, R66, R79, R76, R55, R56, R17, R85, R78, R75, R70, R25, R87, R8, R98, R14, R41, R63, R97, R69, R50, R38, R84, R90, R10, R72, R4, R89, R51, R68, R58, 
B47:, R35, R18, R5, R77, R98, R71, R46, R51, R72, R48, R2, R92, R73, R95, R30, R25, R8, R49, R4, R12, R3, R87, R80, R57, R9, R99, R22, R23, R56, R31, R60, R17, R86, R14, R94, R15, R84, R11, R50, R91, R21, R59, R19, R76, R82, R24, R29, R69, R63, R85, R6, R38, R53, R90, R7, R40, R33, R81, R32, R89, R26, R67, R10, R28, R74, R45, R68, R61, R96, R37, R78, R41, R43, R47, R13, R52, R54, R83, R62, R0, R16, R1, R65, R39, R55, R34, R93, R75, R44, R42, R70, R20, R36, R66, R88, R64, R58, R79, R97, R27, 
B48:, R97, R43, R28, R42, R93, R31, R63, R59, R90, R67, R4, R92, R29, R26, R0, R1, R36, R89, R99, R24, R2, R37, R91, R7, R94, R39, R56, R38, R9, R75, R5, R69, R10, R77, R55, R87, R41, R86, R33, R66, R11, R46, R70, R20, R13, R18, R50, R6, R72, R54, R73, R16, R21, R57, R40, R64, R74, R79, R81, R98, R62, R80, R52, R48, R19, R14, R45, R53, R61, R76, R23, R27, R85, R51, R84, R83, R47, R34, R3, R95, R60, R8, R12, R32, R78, R22, R15, R82, R35, R17, R68, R88, R49, R65, R58, R25, R44, R30, R71, R96, 
B49:, R38, R26, R36, R32, R98, R88, R67, R64, R92, R49, R41, R75, R25, R21, R16, R4, R52, R24, R5, R78, R17, R63, R62, R30, R93, R70, R29, R2, R76, R22, R27, R90, R89, R18, R40, R43, R86, R48, R50, R45, R66, R79, R33, R6, R20, R59, R56, R53, R28, R74, R57, R13, R58, R47, R12, R69, R82, R61, R83, R15, R9, R1, R99, R14, R97, R54, R35, R10, R87, R7, R44, R37, R85, R23, R51, R46, R65, R60, R72, R0, R8, R55, R80, R31, R3, R73, R95, R94, R39, R71, R91, R68, R42, R96, R34, R84, R11, R19, R77, R81, 
B50:, R80, R75, R76, R48, R93, R50, R20, R44, R57, R25, R98, R82, R41, R47, R16, R69, R89, R77, R15, R87, R60, R23, R27, R1, R94, R73, R56, R39, R71, R70, R11, R65, R12, R24, R51, R37, R26, R86, R2, R43, R81, R84, R62, R7, R78, R63, R0, R54, R22, R95, R88, R53, R42, R17, R9, R32, R13, R3, R74, R83, R92, R64, R21, R14, R40, R66, R67, R85, R49, R28, R68, R46, R96, R91, R35, R36, R59, R52, R55, R45, R72, R10, R97, R6, R33, R19, R90, R31, R5, R30, R38, R58, R4, R18, R8, R34, R79, R99, R61, R29, 
B51:, R24, R56, R84, R9, R33, R42, R71, R30, R86, R97, R69, R15, R73, R23, R65, R3, R31, R83, R58, R62, R99, R34, R61, R26, R93, R12, R13, R28, R60, R81, R59, R6, R79, R7, R77, R85, R89, R19, R90, R18, R2, R66, R38, R37, R0, R57, R92, R88, R52, R94, R63, R80, R46, R20, R64, R78, R8, R5, R14, R75, R76, R48, R1, R51, R96, R72, R11, R49, R17, R74, R82, R36, R21, R44, R68, R53, R43, R35, R25, R87, R39, R41, R55, R4, R10, R32, R40, R27, R54, R50, R67, R95, R22, R16, R45, R91, R70, R47, R29, R98, 
B52:, R18, R29, R92, R70, R14, R59, R27, R80, R34, R45, R50, R98, R87, R56, R86, R99, R67, R75, R24, R77, R26, R71, R20, R69, R68, R46, R79, R7, R3, R16, R38, R82, R42, R6, R30, R0, R8, R76, R4, R95, R57, R37, R63, R55, R36, R17, R21, R61, R74, R5, R23, R60, R11, R1, R72, R51, R22, R33, R89, R90, R40, R93, R47, R10, R41, R88, R48, R32, R35, R25, R44, R28, R43, R58, R81, R19, R13, R31, R2, R15, R97, R96, R53, R85, R52, R83, R64, R49, R66, R65, R12, R94, R54, R9, R73, R62, R84, R91, R78, R39, 
B53:, R34, R39, R19, R44, R60, R46, R0, R28, R72, R2, R5, R76, R1, R36, R52, R87, R13, R97, R29, R57, R59, R70, R62, R37, R54, R48, R24, R68, R86, R32, R30, R40, R20, R67, R7, R61, R66, R18, R82, R53, R95, R42, R99, R80, R91, R98, R88, R51, R38, R94, R89, R69, R85, R21, R84, R96, R65, R74, R35, R25, R41, R4, R78, R83, R15, R49, R58, R23, R26, R27, R47, R92, R12, R56, R73, R77, R93, R16, R63, R17, R71, R81, R90, R55, R50, R14, R3, R8, R75, R9, R43, R64, R45, R6, R33, R22, R79, R31, R11, R10, 
B54:, R34, R8, R55, R10, R88, R27, R31, R30, R26, R16, R92, R54, R74, R41, R78, R2, R35, R32, R13, R50, R47, R3, R72, R46, R59, R91, R38, R67, R95, R86, R11, R60, R66, R45, R62, R21, R77, R64, R85, R98, R7, R20, R19, R83, R75, R51, R61, R40, R29, R96, R70, R49, R53, R58, R73, R17, R6, R81, R42, R12, R28, R39, R69, R4, R18, R90, R76, R23, R22, R68, R82, R5, R71, R1, R87, R84, R9, R52, R44, R97, R63, R48, R57, R65, R80, R89, R25, R99, R24, R37, R36, R56, R93, R43, R79, R94, R33, R14, R15, R0, 
B55:, R88, R60, R15, R43, R47, R72, R23, R93, R17, R41, R0, R8, R56, R84, R54, R94, R35, R89, R65, R49, R36, R59, R28, R52, R12, R70, R9, R46, R33, R61, R83, R85, R38, R68, R5, R27, R92, R73, R79, R66, R39, R19, R86, R4, R57, R29, R30, R11, R34, R98, R24, R31, R40, R99, R42, R50, R22, R78, R77, R90, R6, R97, R32, R25, R91, R55, R20, R74, R75, R10, R3, R69, R82, R96, R63, R1, R71, R2, R67, R95, R62, R76, R81, R37, R48, R7, R80, R53, R21, R13, R26, R14, R44, R16, R58, R64, R51, R87, R18, R45, 
B56:, R47, R25, R53, R31, R93, R2, R61, R14, R73, R95, R94, R9, R76, R17, R88, R83, R96, R82, R10, R39, R27, R33, R58, R40, R81, R57, R13, R99, R45, R34, R68, R50, R65, R67, R71, R49, R72, R63, R15, R69, R51, R79, R18, R42, R41, R37, R85, R3, R35, R77, R90, R4, R92, R0, R38, R19, R32, R30, R7, R98, R91, R52, R64, R55, R44, R59, R6, R36, R89, R60, R23, R20, R22, R80, R26, R54, R8, R70, R97, R43, R84, R74, R1, R11, R86, R24, R29, R16, R48, R87, R12, R62, R5, R28, R75, R21, R78, R66, R46, R56, 
B57:, R84, R6, R26, R7, R39, R79, R57, R10, R35, R95, R48, R87, R70, R97, R27, R77, R16, R12, R78, R80, R69, R86, R67, R59, R96, R23, R40, R81, R51, R90, R74, R1, R60, R14, R54, R98, R31, R62, R32, R58, R21, R33, R53, R49, R41, R36, R68, R15, R75, R94, R61, R91, R85, R46, R5, R8, R22, R66, R93, R4, R65, R18, R44, R45, R52, R71, R28, R55, R25, R42, R76, R11, R38, R88, R82, R30, R9, R0, R89, R19, R72, R37, R99, R50, R47, R34, R64, R73, R92, R29, R2, R63, R17, R24, R83, R43, R13, R56, R20, R3, 
B58:, R61, R99, R14, R35, R7, R88, R91, R41, R76, R46, R77, R9, R27, R52, R49, R30, R92, R22, R80, R62, R10, R21, R5, R94, R78, R33, R15, R50, R3, R40, R6, R74, R98, R83, R29, R87, R55, R42, R54, R45, R67, R38, R84, R19, R12, R64, R93, R96, R69, R34, R39, R0, R75, R28, R89, R59, R72, R51, R2, R82, R16, R85, R63, R32, R23, R11, R1, R44, R31, R37, R58, R36, R90, R60, R73, R53, R17, R57, R86, R48, R97, R26, R18, R68, R71, R81, R4, R13, R24, R65, R56, R79, R70, R47, R25, R43, R8, R66, R95, R20, 
B59:, R27, R98, R69, R79, R43, R83, R90, R49, R38, R50, R9, R11, R10, R33, R41, R23, R24, R89, R28, R14, R48, R60, R64, R67, R61, R96, R52, R12, R44, R88, R97, R13, R70, R85, R7, R2, R18, R93, R87, R0, R92, R47, R95, R75, R57, R8, R71, R66, R78, R99, R34, R72, R32, R36, R56, R77, R63, R55, R16, R81, R86, R74, R31, R45, R58, R4, R30, R80, R53, R59, R26, R65, R5, R54, R40, R20, R62, R39, R51, R42, R73, R29, R82, R22, R46, R17, R15, R35, R1, R84, R19, R68, R6, R21, R37, R25, R3, R91, R94, R76, 
B60:, R78, R3, R60, R6, R17, R86, R96, R37, R4, R52, R62, R95, R68, R48, R83, R67, R38, R79, R23, R61, R59, R53, R36, R88, R65, R81, R9, R64, R14, R8, R21, R10, R51, R46, R42, R30, R80, R39, R75, R77, R0, R94, R31, R50, R56, R19, R33, R22, R1, R29, R28, R87, R84, R73, R16, R43, R45, R99, R89, R58, R26, R40, R20, R44, R66, R25, R18, R47, R82, R35, R55, R27, R2, R12, R70, R41, R5, R97, R93, R7, R74, R13, R69, R24, R15, R92, R49, R90, R57, R98, R71, R34, R91, R72, R11, R54, R32, R85, R63, R76, 
B61:, R47, R89, R97, R5, R69, R4, R82, R70, R51, R8, R9, R87, R48, R24, R34, R18, R14, R44, R20, R10, R23, R16, R77, R62, R46, R92, R2, R96, R17, R85, R38, R74, R41, R0, R57, R25, R91, R59, R21, R93, R49, R61, R28, R78, R88, R66, R35, R60, R84, R26, R40, R42, R81, R68, R63, R54, R52, R37, R79, R53, R30, R50, R27, R7, R33, R58, R76, R12, R36, R15, R39, R19, R98, R3, R99, R45, R67, R32, R80, R31, R56, R72, R71, R11, R65, R73, R83, R29, R95, R75, R94, R55, R22, R90, R64, R86, R13, R43, R1, R6, 
B62:, R33, R1, R98, R28, R35, R66, R46, R38, R49, R43, R0, R40, R60, R82, R85, R67, R70, R39, R59, R18, R52, R15, R37, R63, R74, R62, R89, R10, R4, R48, R86, R9, R56, R26, R7, R3, R51, R36, R16, R71, R76, R94, R19, R45, R44, R78, R42, R80, R29, R58, R96, R53, R77, R6, R91, R5, R87, R25, R88, R47, R11, R8, R57, R69, R73, R12, R90, R79, R84, R95, R30, R81, R64, R92, R54, R61, R50, R41, R2, R68, R32, R34, R20, R27, R97, R83, R23, R13, R72, R22, R99, R75, R17, R31, R21, R14, R55, R93, R65, R24, 
B63:, R90, R12, R61, R74, R60, R80, R46, R83, R69, R89, R14, R25, R78, R72, R88, R20, R50, R81, R73, R94, R8, R19, R79, R56, R64, R86, R48, R43, R84, R30, R34, R4, R77, R27, R63, R17, R54, R62, R1, R75, R70, R65, R93, R98, R36, R59, R52, R35, R15, R3, R18, R95, R38, R7, R21, R53, R99, R0, R6, R44, R87, R68, R85, R5, R76, R55, R96, R82, R97, R16, R91, R66, R31, R45, R29, R37, R13, R2, R51, R40, R11, R39, R42, R41, R49, R23, R47, R58, R28, R24, R92, R67, R9, R10, R33, R32, R57, R26, R71, R22, 
B64:, R69, R90, R20, R67, R25, R86, R42, R44, R92, R29, R8, R94, R7, R54, R31, R55, R52, R48, R87, R96, R12, R93, R62, R79, R53, R66, R65, R64, R19, R34, R2, R78, R27, R13, R50, R28, R9, R63, R0, R85, R32, R23, R6, R84, R98, R3, R89, R33, R26, R38, R77, R39, R74, R30, R59, R51, R60, R88, R4, R1, R72, R14, R5, R45, R83, R56, R17, R57, R24, R61, R15, R81, R40, R95, R82, R41, R99, R35, R73, R10, R11, R47, R37, R71, R49, R75, R91, R22, R76, R43, R97, R18, R58, R70, R80, R21, R46, R16, R68, R36, 
B65:, R43, R99, R20, R7, R75, R8, R52, R57, R34, R13, R62, R89, R29, R33, R59, R67, R41, R44, R76, R60, R17, R54, R94, R39, R47, R79, R22, R46, R45, R70, R81, R65, R63, R66, R16, R84, R86, R85, R61, R36, R91, R10, R38, R82, R42, R26, R92, R18, R9, R12, R87, R88, R69, R68, R27, R78, R90, R2, R73, R1, R53, R51, R30, R5, R3, R74, R19, R95, R55, R37, R77, R15, R58, R98, R50, R21, R83, R25, R49, R32, R72, R40, R93, R48, R56, R80, R24, R71, R35, R11, R96, R0, R64, R6, R28, R31, R4, R14, R97, R23, 
B66:, R64, R50, R56, R82, R97, R8, R78, R71, R0, R21, R1, R2, R74, R9, R94, R27, R7, R90, R36, R76, R24, R60, R39, R85, R68, R86, R54, R88, R28, R95, R3, R61, R14, R42, R5, R11, R66, R63, R53, R70, R72, R35, R69, R47, R43, R41, R89, R92, R93, R32, R51, R65, R67, R4, R19, R44, R13, R12, R84, R99, R98, R30, R55, R57, R33, R80, R38, R34, R40, R81, R46, R59, R18, R49, R91, R45, R87, R58, R48, R31, R23, R96, R22, R77, R79, R15, R16, R20, R26, R52, R25, R37, R62, R6, R10, R29, R83, R17, R73, R75, 
B67:, R12, R65, R56, R42, R34, R75, R15, R87, R89, R29, R5, R67, R21, R91, R24, R95, R81, R98, R61, R1, R71, R25, R44, R26, R41, R94, R28, R80, R46, R99, R83, R30, R33, R58, R88, R47, R39, R79, R31, R76, R97, R64, R57, R53, R3, R96, R52, R84, R60, R16, R92, R6, R37, R23, R35, R73, R13, R59, R74, R19, R66, R38, R69, R63, R22, R90, R43, R8, R27, R18, R85, R93, R51, R45, R2, R10, R9, R40, R7, R17, R14, R70, R36, R86, R32, R20, R77, R62, R78, R48, R72, R0, R49, R4, R68, R11, R55, R54, R50, R82, 
B68:, R41, R88, R6, R46, R96, R47, R55, R9, R58, R81, R38, R73, R24, R27, R77, R12, R0, R44, R31, R26, R95, R71, R76, R54, R57, R43, R18, R93, R91, R82, R49, R90, R8, R39, R25, R29, R1, R97, R15, R72, R62, R48, R36, R78, R30, R37, R23, R35, R65, R34, R79, R67, R32, R20, R28, R66, R33, R92, R70, R19, R22, R75, R52, R21, R3, R98, R84, R85, R56, R83, R59, R13, R51, R89, R60, R4, R80, R94, R17, R5, R7, R63, R16, R42, R61, R50, R53, R14, R2, R69, R45, R87, R64, R99, R10, R40, R86, R74, R68, R11, 
B69:, R74, R67, R45, R77, R52, R83, R20, R99, R61, R84, R37, R11, R36, R62, R69, R24, R7, R55, R68, R25, R35, R8, R71, R6, R86, R1, R27, R91, R70, R23, R97, R46, R93, R85, R80, R60, R92, R5, R31, R38, R28, R40, R44, R50, R4, R18, R26, R42, R94, R63, R64, R87, R75, R12, R54, R17, R39, R15, R19, R30, R10, R66, R22, R16, R9, R47, R2, R95, R43, R29, R41, R82, R53, R65, R48, R34, R90, R73, R76, R81, R3, R89, R0, R14, R72, R33, R57, R32, R79, R96, R56, R13, R51, R88, R59, R98, R78, R58, R49, R21, 
B70:, R19, R95, R48, R99, R23, R93, R4, R30, R62, R8, R17, R34, R73, R69, R82, R90, R29, R61, R42, R66, R57, R96, R1, R87, R56, R85, R63, R32, R78, R20, R86, R84, R36, R6, R92, R46, R94, R65, R28, R13, R35, R68, R43, R9, R74, R58, R52, R45, R27, R49, R88, R11, R18, R53, R33, R83, R0, R31, R37, R7, R16, R81, R97, R24, R2, R51, R21, R3, R76, R41, R50, R12, R26, R54, R40, R14, R89, R70, R10, R80, R98, R72, R75, R67, R91, R44, R71, R39, R55, R38, R79, R25, R22, R60, R59, R64, R47, R5, R15, R77, 
B71:, R11, R55, R1, R13, R53, R85, R98, R45, R9, R84, R47, R2, R94, R34, R20, R87, R77, R62, R23, R88, R29, R90, R70, R0, R65, R25, R8, R33, R7, R79, R73, R43, R51, R24, R22, R15, R54, R32, R26, R72, R99, R36, R66, R64, R74, R56, R41, R92, R12, R96, R35, R17, R31, R6, R97, R59, R50, R19, R37, R10, R82, R46, R86, R18, R95, R81, R63, R27, R61, R28, R16, R5, R14, R40, R49, R75, R48, R67, R44, R38, R52, R60, R80, R3, R76, R83, R58, R71, R57, R89, R93, R39, R4, R69, R21, R78, R91, R68, R30, R42, 
B72:, R16, R62, R1, R7, R79, R22, R39, R77, R29, R28, R97, R57, R63, R45, R38, R88, R92, R15, R43, R23, R83, R91, R76, R75, R80, R35, R74, R32, R50, R86, R20, R89, R24, R46, R84, R55, R99, R40, R65, R37, R52, R18, R14, R71, R78, R5, R31, R6, R81, R60, R27, R67, R68, R25, R44, R42, R82, R73, R96, R54, R85, R13, R19, R69, R17, R48, R33, R98, R64, R11, R51, R21, R70, R34, R41, R10, R2, R30, R3, R95, R8, R94, R58, R53, R72, R90, R56, R49, R9, R12, R47, R66, R4, R59, R61, R26, R0, R36, R93, R87, 
B73:, R58, R44, R94, R72, R22, R75, R30, R27, R88, R54, R12, R57, R79, R0, R39, R41, R84, R49, R32, R5, R33, R42, R85, R52, R21, R45, R47, R23, R92, R96, R68, R26, R63, R71, R95, R48, R50, R64, R87, R43, R62, R2, R73, R97, R18, R55, R28, R51, R59, R91, R13, R19, R16, R66, R17, R6, R24, R60, R89, R70, R46, R29, R3, R77, R7, R69, R74, R10, R15, R65, R67, R53, R78, R61, R80, R14, R93, R81, R20, R8, R86, R9, R36, R4, R34, R99, R11, R76, R83, R25, R31, R35, R56, R38, R90, R98, R40, R82, R1, R37, 
B74:, R27, R23, R28, R65, R85, R16, R49, R30, R3, R40, R97, R73, R75, R84, R80, R98, R32, R90, R56, R36, R6, R87, R43, R41, R51, R10, R38, R19, R81, R50, R48, R88, R83, R93, R55, R74, R76, R33, R70, R14, R20, R11, R92, R62, R8, R44, R57, R59, R52, R89, R58, R46, R26, R17, R39, R53, R63, R79, R86, R37, R7, R60, R34, R35, R5, R12, R2, R54, R71, R25, R1, R91, R42, R21, R61, R96, R18, R68, R15, R47, R66, R22, R64, R99, R0, R13, R77, R67, R24, R45, R29, R69, R4, R78, R95, R82, R31, R9, R72, R94, 
B75:, R26, R91, R77, R42, R50, R66, R86, R84, R75, R72, R20, R15, R7, R92, R17, R16, R38, R81, R9, R31, R76, R0, R64, R69, R2, R98, R43, R45, R94, R99, R28, R13, R18, R40, R71, R79, R60, R74, R1, R52, R63, R49, R23, R89, R27, R39, R96, R62, R34, R36, R67, R22, R46, R95, R4, R12, R21, R90, R65, R93, R33, R87, R83, R8, R29, R58, R59, R54, R97, R73, R6, R24, R53, R88, R5, R48, R14, R37, R56, R41, R11, R51, R55, R10, R30, R70, R3, R32, R57, R80, R19, R78, R44, R25, R61, R82, R68, R35, R47, R85, 
B76:, R88, R4, R94, R50, R58, R7, R2, R79, R26, R83, R75, R80, R24, R43, R3, R60, R16, R64, R0, R53, R9, R49, R25, R84, R22, R12, R47, R32, R5, R89, R52, R92, R77, R78, R61, R57, R62, R15, R96, R99, R17, R74, R81, R10, R71, R66, R45, R73, R1, R19, R56, R38, R18, R54, R87, R35, R67, R20, R31, R70, R11, R36, R65, R28, R51, R13, R14, R44, R63, R90, R55, R27, R42, R41, R68, R37, R72, R82, R95, R40, R29, R6, R91, R48, R21, R33, R39, R85, R97, R8, R34, R23, R98, R86, R76, R93, R30, R59, R46, R69, 
B77:, R43, R65, R13, R36, R55, R18, R1, R61, R16, R95, R81, R67, R90, R12, R64, R54, R96, R87, R27, R10, R71, R85, R35, R11, R73, R14, R83, R21, R33, R53, R92, R23, R93, R82, R37, R40, R56, R57, R99, R5, R8, R89, R75, R86, R68, R60, R63, R4, R32, R45, R15, R17, R30, R9, R88, R38, R98, R28, R79, R52, R31, R76, R41, R47, R91, R84, R44, R94, R62, R39, R69, R51, R58, R7, R20, R29, R3, R77, R6, R70, R66, R48, R80, R25, R22, R72, R24, R97, R19, R42, R2, R34, R46, R50, R78, R26, R59, R74, R49, R0, 
B78:, R59, R33, R21, R82, R98, R35, R11, R37, R20, R89, R34, R50, R48, R30, R91, R55, R92, R6, R27, R75, R1, R41, R45, R69, R70, R80, R23, R93, R46, R43, R38, R73, R57, R14, R79, R78, R42, R7, R9, R84, R64, R74, R81, R4, R12, R32, R53, R71, R61, R68, R83, R47, R29, R15, R72, R90, R56, R19, R60, R31, R51, R44, R58, R25, R10, R54, R77, R2, R40, R96, R76, R86, R67, R3, R95, R62, R26, R39, R17, R66, R88, R18, R16, R97, R13, R85, R22, R36, R65, R49, R28, R0, R99, R5, R24, R87, R52, R94, R63, R8, 
B79:, R59, R56, R65, R89, R32, R79, R26, R87, R21, R34, R11, R2, R18, R40, R35, R84, R52, R72, R49, R36, R6, R23, R58, R7, R46, R24, R70, R25, R39, R16, R90, R44, R38, R28, R42, R41, R94, R99, R51, R73, R14, R67, R30, R75, R96, R69, R93, R4, R82, R86, R15, R55, R20, R98, R74, R63, R91, R43, R1, R78, R13, R31, R66, R10, R50, R22, R88, R97, R76, R77, R0, R19, R57, R95, R12, R9, R48, R53, R80, R27, R71, R8, R60, R29, R85, R17, R64, R92, R83, R37, R62, R33, R5, R68, R45, R81, R54, R3, R47, R61, 
B80:, R72, R54, R24, R38, R51, R63, R8, R74, R94, R55, R90, R59, R5, R46, R78, R40, R68, R70, R31, R23, R35, R21, R83, R12, R10, R71, R3, R99, R56, R81, R14, R47, R6, R25, R97, R7, R41, R37, R98, R42, R22, R43, R58, R30, R17, R45, R50, R26, R53, R19, R27, R28, R48, R88, R86, R57, R79, R91, R18, R89, R49, R67, R60, R15, R61, R96, R1, R87, R39, R80, R36, R82, R32, R66, R76, R44, R29, R33, R34, R9, R64, R84, R85, R16, R65, R77, R73, R2, R4, R20, R11, R13, R93, R62, R0, R69, R75, R92, R52, R95, 
B81:, R52, R21, R0, R66, R57, R53, R11, R67, R76, R98, R27, R78, R62, R25, R72, R26, R9, R81, R41, R18, R43, R89, R61, R68, R48, R65, R79, R29, R23, R4, R49, R10, R86, R12, R95, R84, R3, R82, R30, R88, R85, R97, R64, R90, R16, R50, R91, R59, R14, R35, R54, R93, R71, R51, R28, R42, R83, R77, R69, R60, R7, R17, R94, R92, R24, R58, R36, R8, R63, R73, R46, R34, R96, R74, R39, R38, R33, R56, R99, R5, R47, R45, R44, R37, R19, R55, R2, R31, R87, R15, R40, R80, R75, R20, R22, R70, R6, R1, R32, R13, 
B82:, R70, R25, R63, R61, R41, R40, R52, R53, R31, R55, R1, R49, R99, R4, R83, R12, R74, R79, R65, R98, R5, R37, R67, R10, R23, R43, R58, R88, R92, R94, R69, R35, R34, R80, R2, R14, R60, R42, R78, R95, R48, R72, R93, R85, R90, R6, R18, R76, R46, R8, R57, R36, R97, R16, R24, R27, R50, R71, R64, R32, R0, R21, R30, R17, R38, R15, R66, R33, R47, R13, R81, R3, R96, R11, R7, R89, R87, R56, R45, R82, R73, R59, R86, R44, R51, R20, R9, R19, R26, R22, R84, R91, R75, R28, R68, R39, R62, R54, R77, R29, 
B83:, R29, R56, R74, R94, R96, R54, R22, R67, R98, R24, R64, R4, R7, R38, R63, R8, R71, R20, R89, R42, R62, R79, R0, R59, R3, R23, R53, R45, R87, R70, R6, R48, R37, R15, R43, R10, R49, R16, R19, R32, R80, R5, R92, R44, R72, R73, R81, R61, R58, R84, R40, R35, R14, R47, R9, R2, R36, R30, R51, R31, R99, R77, R33, R69, R95, R39, R18, R97, R83, R46, R88, R93, R26, R12, R41, R65, R28, R68, R78, R57, R11, R27, R66, R21, R85, R34, R55, R17, R75, R1, R25, R90, R82, R52, R86, R91, R13, R50, R76, R60, 
B84:, R47, R34, R16, R42, R89, R35, R18, R46, R27, R0, R66, R58, R62, R71, R39, R60, R86, R91, R99, R83, R67, R61, R56, R38, R13, R94, R95, R28, R5, R41, R97, R24, R30, R93, R23, R44, R55, R78, R57, R81, R73, R2, R65, R45, R59, R72, R3, R36, R11, R21, R29, R40, R92, R88, R54, R87, R31, R8, R20, R6, R4, R33, R74, R64, R82, R84, R63, R43, R51, R9, R76, R25, R19, R17, R49, R48, R37, R12, R69, R53, R22, R90, R14, R70, R77, R32, R85, R50, R7, R10, R26, R80, R96, R68, R52, R79, R75, R15, R98, R1, 
B85:, R76, R53, R38, R66, R22, R49, R25, R30, R44, R90, R28, R81, R37, R3, R9, R45, R2, R5, R16, R27, R51, R69, R4, R84, R70, R74, R52, R56, R89, R46, R54, R0, R59, R26, R65, R34, R18, R58, R24, R10, R47, R72, R86, R73, R80, R33, R29, R40, R85, R12, R1, R62, R8, R7, R99, R96, R15, R20, R32, R83, R36, R11, R75, R95, R78, R55, R31, R17, R42, R39, R50, R82, R35, R64, R63, R48, R21, R97, R68, R79, R77, R67, R23, R92, R93, R60, R6, R43, R94, R41, R19, R91, R13, R88, R14, R71, R57, R61, R98, R87, 
B86:, R39, R16, R13, R35, R81, R96, R89, R71, R22, R56, R41, R44, R14, R12, R65, R0, R43, R11, R18, R15, R80, R75, R30, R63, R95, R40, R85, R33, R31, R79, R62, R78, R26, R77, R86, R9, R67, R2, R88, R97, R37, R6, R3, R10, R52, R74, R7, R38, R8, R1, R34, R66, R48, R60, R94, R76, R5, R45, R64, R57, R92, R25, R46, R28, R53, R84, R69, R36, R19, R51, R42, R93, R49, R24, R29, R58, R32, R73, R98, R47, R50, R4, R61, R68, R23, R91, R21, R99, R87, R54, R27, R72, R17, R55, R83, R59, R82, R20, R90, R70, 
B87:, R9, R53, R46, R52, R80, R24, R67, R64, R63, R4, R86, R31, R47, R28, R7, R30, R11, R36, R21, R6, R34, R27, R35, R40, R96, R97, R29, R15, R14, R3, R90, R71, R60, R78, R83, R74, R89, R32, R41, R76, R72, R65, R51, R33, R87, R56, R54, R8, R88, R37, R66, R81, R61, R58, R48, R42, R77, R5, R75, R26, R55, R43, R10, R85, R0, R70, R19, R93, R23, R49, R82, R84, R25, R20, R44, R16, R22, R94, R38, R98, R57, R79, R50, R12, R1, R68, R2, R45, R99, R92, R59, R95, R18, R69, R17, R91, R39, R13, R73, R62, 
